Site.ID,UNITS CONSUMED
9360,2761
9316,NULL
9158,2228
9359,4633
9340,3500
9955,1820
9116,5100
9345,1401
51671,3223
8893,3500
9342,3000
50454,5735
9320,3500
9824,4641
51670,2504
9121,2473
9776,3607
3156,2190
9165,2046
9831,2277
9127,1506
9104,1429
8908,2170
50430,NULL
3236,1944
9318,1672
9315,1999
53568,2285
9031,500
52847,2023
9105,1941
9101,990
9108,1856
9095,NULL
9344,1538
8291,3000
9323,NULL
51726,1959
8292,300
8477,1905
